Source,Target,Weight
NAD,RMA,1
SWM,BTE,1
MTJ,NZM,3
UMB,LDH,4
LDH,JRC,5
JRC,PTKC,3
PTKC,KTHU,4
KTHU,JAT,3
JAT,UHP,4
UHP,SVDK,3
JU,LUNI,4
MJ,RANI,2
RANI,FA,3
FA,JWB,4
JWB,ABR,3
MSH,ADI,5
ADI,ANND,3
BRC,AKV,4
AKV,ST,5
ST,BVI,4
ANVT,GZB,3
GZB,ALJN,1
TDL,CNB,4
ALD,MZP,2
MZP,MGS,3
MGS,DLN,2
DLN,DNR,1
DNR,PPTA,2
PPTA,BGS,1
BGS,KGG,3
KGG,NNA,4
NNA,KIR,4
KIR,PRNA,1
PRNA,ARQ,1
ARQ,FBG,1
FBG,JBN,1
KYQ,NBQ,1
NBQ,NJP,1
NJP,KNE,12
KNE,MLDT,3
MLDT,RPH,1
RPH,HWH,1
HWH,KGP,7
KGP,BHC,1
BHC,CTC,2
CTC,BBS,10
BBS,KUR,18
KUR,BAM,7
BAM,PSA,5
PSA,CHE,6
CHE,VZM,6
VZM,VSKP,13
VSKP,DVD,7
DVD,BZA,2
BZA,PER,1
PER,KPD,1
KPD,WFD,1
WFD,BNC,1
SCL,BPB,1
BPB,NHLG,1
NHLG,MBG,1
MBG,LMG,1
LMG,HJI,1
HJI,GHY,2
GHY,KYQ,9
KYQ,RNY,7
RNY,BPRD,2
BPRD,NBQ,2
NBQ,KOJ,4
KOJ,NOQ,3
NOQ,NCB,7
NCB,DQG,4
DQG,NJP,3
MLDT,PKR,1
PKR,RPH,4
RPH,BHP,2
BHP,HWH,2
KGP,BLS,5
BLS,BHC,5
BHC,JJKR,4
JJKR,CTC,6
KUR,BALU,4
BALU,BAM,2
VSKP,RJY,6
RJY,BZA,3
BZA,MAS,1
JTJ,SA,2
SA,ED,4
ED,TUP,5
TUP,CBE,4
CBE,PGT,2
PGT,TCR,2
TCR,AWY,6
AWY,ERN,4
ERN,KTYM,3
KTYM,TRVL,3
TRVL,CNGR,3
CNGR,MVLK,1
MVLK,KYJ,1
KYJ,QLN,5
QLN,TVC,2
RNY,NBQ,6
NBQ,NOQ,3
NCB,NJP,5
KNE,BOE,3
BOE,MLDT,4
MLDT,NFK,7
NFK,RPH,1
BZA,SC,1
GHY,GLPT,1
GLPT,NBQ,2
MLDT,AZ,2
AZ,KWAE,1
KWAE,NDAE,3
NDAE,BDC,2
BDC,KOAA,1
STA,MZP,1
MGS,DNR,1
PPTA,HJP,1
HJP,BGS,1
KIR,KNE,3
KNE,NJP,5
NJP,NCB,2
NCB,NBQ,1
NBQ,RNY,2
RNY,KYQ,5
NBQ,NCB,2
KNE,KIR,3
KIR,NNA,3
NNA,KGG,1
KGG,BGS,4
BGS,HJP,1
HJP,PPTA,1
PPTA,DNR,1
DNR,MGS,1
MZP,STA,1
KNW,BSL,6
JL,MMR,1
KIR,KGG,1
KGG,ROA,1
ROA,SPJ,1
SPJ,MFP,5
MFP,HJP,7
HJP,SEE,8
SEE,CPR,7
CPR,SV,6
SV,DEOS,2
DEOS,GKP,6
GKP,GD,1
GD,LKO,3
LKO,MB,1
MB,GZB,1
GKP,SWA,2
SWA,KLD,1
GD,CLJ,2
CLJ,JLD,2
JLD,BBK,1
BBK,BNZ,1
BNZ,LJN,1
R,BYT,4
BYT,USL,3
USL,PND,3
PND,APR,5
APR,SDL,4
SDL,KTE,1
STA,CKTD,1
CKTD,BNDA,1
BNDA,CNB,1
ADI,MSH,5
MSH,PNU,5
PNU,ABR,8
ABR,FA,2
FA,MJ,5
MJ,BER,4
BER,AII,5
AII,JP,3
JP,BTE,1
BTE,AH,1
AH,AF,1
ANVT,MB,1
MB,LKO,2
LKO,GKP,2
GKP,CPJ,1
CPJ,SBZ,1
SBZ,BUG,2
BUG,HIR,1
HIR,NKE,1
NKE,BTH,2
BTH,SGL,2
SGL,BMKI,3
BMKI,CAA,1
CAA,MAI,2
MAI,MTR,1
MTR,MFP,1
NDLS,CNB,3
CNB,LKO,3
GKP,SV,2
CPR,SEE,2
SEE,HJP,6
HJP,MFP,4
MFP,SPJ,4
SPJ,DBG,7
SHC,SBV,2
SBV,MNE,1
MNE,KGG,5
BGS,MKA,1
MKA,BKP,3
BKP,PNC,2
ANVT,ALJN,2
ALJN,CNB,2
ALD,MGS,2
MGS,GMR,1
GMR,BXR,1
BXR,DURE,2
DURE,BEA,1
BEA,ARA,2
ARA,DNR,2
DNR,PNBE,2
PNC,BKP,2
BKP,MKA,2
MKA,BJU,3
BJU,SPJ,8
SPJ,HYT,1
HYT,LSI,1
LSI,DBG,3
DBG,SKI,3
SKI,MBI,3
MBI,JYG,3
LKO,GD,2
GD,BLP,1
BLP,BNY,1
BNY,NUH,1
NUH,ANDN,1
ANDN,GKP,1
MAQ,MJS,2
MJS,KGQ,1
KGQ,KZE,3
KZE,CHV,1
CHV,PAY,2
PAY,PAZ,1
PAZ,CAN,1
CAN,TLY,6
TLY,MAHE,4
MAHE,BDJ,3
BDJ,QLD,2
QLD,CLT,6
CLT,FK,3
FK,PGI,1
PGI,TA,4
TA,TIR,4
TIR,KTU,3
KTU,PTB,3
PTB,SRR,4
SRR,OTP,1
OTP,PGT,3
PGT,PTJ,3
PTJ,TUP,1
TUP,ED,11
ED,SA,12
SA,JTJ,7
JTJ,KPD,9
KPD,WJR,2
WJR,AJJ,2
MAS,PER,1
PER,AJJ,1
AJJ,WJR,1
WJR,KPD,1
KPD,AB,1
AB,JTJ,1
KJM,BNC,1
MAQ,SL,2
SL,MULK,1
MULK,UD,1
UD,BKJ,1
BKJ,KUDA,1
KUDA,BYNR,3
BYNR,BTJL,3
BTJL,MRDW,2
MRDW,HNA,1
HNA,KT,1
KT,GOK,1
GOK,ANKL,1
ANKL,KAWR,1
KAWR,CNO,3
CNO,MAO,3
MAO,KUDL,1
KUDL,RN,3
CHI,PNVL,2
PNVL,TNA,6
TVC,VAK,3
VAK,QLN,3
TRVL,CGY,3
CGY,KTYM,2
KTYM,TRTR,1
TRTR,ERN,2
ERN,AWY,6
AWY,AFK,4
AFK,TCR,1
TCR,PGT,5
PGT,CBE,8
CBE,ED,2
SA,KPD,1
KPD,AVD,1
AVD,PER,2
SBC,BNC,4
BNC,YNK,1
YNK,HUP,2
HUP,PKD,2
PKD,SSPN,1
SSPN,DMM,1
DMM,ATP,6
ATP,GY,3
RC,YG,2
YG,WADI,1
WADI,GR,1
SUR,KWV,1
KWV,DD,2
BAP,KPG,2
ET,BPL,5
JHS,GWL,4
GWL,AGC,4
AGC,MTJ,3
CBE,TUP,10
SA,DPJ,3
DPJ,HSRA,3
HSRA,BAND,2
BAND,YPR,5
YPR,HUP,1
HUP,DMM,2
ATP,DHNE,2
DHNE,KRNT,5
KRNT,MBNR,2
MBNR,KCG,3
KCG,KZJ,1
KZJ,BPQ,1
BPQ,NGP,1
NGP,BZU,1
BZU,ET,1
